input_code,reward,is_expired,instruction,credits
7KTHAILAND,50000 Gold,TRUE,Coupon > Offline Coupon Event,Viciouskaz
7knights,30 Rubies,FALSE,Switch to Thai language > TVC & Youtube OR AD Event for any other language (Heavenia),Nardog14
Sevenknights,50000 Gold,FALSE,Switch to Thai language > TVC & Youtube OR AD Event for any other language (Heavenia),Trickaz
7kno1,3-6* Hero Ticket,FALSE,Switch to Indonesia language > Limited Treasure Hunt,Ninecawaii
7KNIGHTSNO1,5* Hero Ticket,FALSE,Switch to Thai or Traditional Chinese (second row rightmost Taiwan flag) language > Wukong,B5810506
bestRPG,3-6* Hero Ticket,FALSE,Switch to Indonesia language > Limited Treasure Hunt,Ninecawaii
